Bezeichnung_der_Einrichtung;Strasse;PLZ;Ort;E_Mail;Telefon;Bezeichnung_des_Traegers;Familienzentrum;Bezeichnung_des_Jugendamts;Strasse;PLZ;Ort
städt. Kindertageseinrichtung Am Pflanzkamp 28a;Am Pflanzkamp 28a;40229;Düsseldorf;gabriele.heidrichschumacher@duesseldorf.de;211/226860;Stadtverwaltung - Jugendamt -;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Achenbachstr. 144 -Kath. Kindertagesstätte St. Paulus;Achenbachstr. 144;40237;Düsseldorf;kita.paulus@kkfd.de;0211/67 22 61;Kath. Kirchengemeindeverband Flingern/Düsseltal;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Ahornallee ;Ahornallee 7;40468;Düsseldorf;kita.ahornallee@diakonie-duesseldorf.de;0211 413122;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Albertstr. 91-93 -Kath. Kindertagesstätte St. Vinzenz;Albertstraße 91-93;40233;Düsseldorf;kita.vinzenz@kkfd.de;0211/73 31 300;Kath. Kirchengemeindeverband Flingern/Düsseltal;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Baldurstr. 24 -Kath. Kindertagesstätte St. Benediktus;Baldurstr. 24;40549;Düsseldorf;kita.benediktus@santobene.de;0211/500518;Kath. Kirchengemeinde St. Antonius und Benediktus;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Rather Markt 2a -Kath. Kindertagesstätte St. Josef;Rather Markt 2 a;40472;Düsseldorf;kita.sj@dem-leben-dienen.de;0211/652444;Kath. Kirchengemeinde St. Franziskus-Xaverius;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte Liebfrauen (Dependance) _ Lindenstraße 128;Lindenstraße 128 (Dep. zur Lindenstr. 178);40233;Düsseldorf;kita.liebfrauen@flingern-mobil.de;0211 1752003-10;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte Papst Johannes _ Auf der Reide 2;Auf der Reide 2;40468;Düsseldorf;kita.pajo@flingern-mobil.de;0211 9891383-101;Flingern mobil e.V.;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Südallee ;Südallee 98;40593;Düsseldorf;kita.suedallee@diakonie-duesseldorf.de;0211 708688;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Am Schönenkamp 143-Kath. Kindertagesstätte St. Antonius;Am Schönenkamp 143a;40599;Düsseldorf;Kita@AntoniusElisabeth.de;0211/743712 und 0211/74069963;Kath. Kirchengemeinde St. Antonius und Elisabeth;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
An St. Swidbert 70-  Kath. Kindertagesstätte St. Suitbertus;An St. Swidbert 70;40489;Düsseldorf;kinderhausst.suitbertus@arcor.de;0211/404605;Kath. Kirchengemeindeverband Angerland/Kaiserswerth;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Calvinstraße ;Calvinstraße 1 ;40597;Düsseldorf;kita.calvinstrasse@diakonie-duesseldorf.de;0211 716780;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;ja;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Eugen-Richter-Straße;Eugen-Richter-Straße 10;40470;Düsseldorf;kita.eugen-richter-strasse@diakonie-duesseldorf.de;0211 566 766 90;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Wettinerstraße;Wettinerstraße 6;40545;Düsseldorf;kita.wettinerstrasse@diakonie-duesseldorf.de;0211 579836;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Kath. Kindertagesstätte St. Joseph _Itterstr. 20;Itterstr. 20;40589;Düsseldorf;kita.joseph-itterstr@flingern-mobil.de;0211 59805620;Flingern mobil e.V.;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Ev. Tageseinrichtung für Kinder Bolkerstraße 36;Bolkerstraße 36;40213;Düsseldorf;kita.bolkerstrasse@diakonie-duesseldorf.de;0211 326712;Diakonie Düsseldorf - Ev. Tageseinrichtungen für Kinder;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
Bismarckweg 3-Kath. Kindertagesstätte St. Ursula;Bismarckweg 3;40629;Düsseldorf;kita-st.ursula@web.de;0211-301415-33;Kath. Kirchengemeinde St. Margareta;nein;Stadtverw. Düsseldorf / 51/18;Willi-Becker-Allee 7;40227;Düsseldorf
